Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_By,Canceled_Reason,Incomplete_Ride,Incomplete_Ride_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
2026-01-16,19:14:12,OLA481338,Success,Cust_4931,Auto,HSR Layout,Airport,5,6,NA,NA,No,NA,915.4,UPI,61.03,3,3
2026-01-28,23:28:22,OLA316110,Success,Cust_2527,Prime Sedan,Whitefield,Airport,9,20,NA,NA,No,NA,809.69,Wallet,53.98,3,5
2026-02-05,15:56:29,OLA891448,Success,Cust_1225,Prime Sedan,Airport,MG Road,6,37,NA,NA,No,NA,731.31,UPI,48.75,3,4
2026-01-03,06:02:30,OLA731966,Success,Cust_2084,Prime Sedan,Airport,HSR Layout,10,39,NA,NA,No,NA,240.38,Cash,16.03,5,3
2026-01-10,21:33:30,OLA622285,Success,Cust_1135,Prime Play,Whitefield,Indiranagar,9,27,NA,NA,No,NA,772.09,Cash,51.47,5,4
2026-02-06,16:43:19,OLA359944,Success,Cust_2235,Auto,Airport,HSR Layout,9,31,NA,NA,No,NA,868.62,UPI,57.91,3,5
2026-01-08,00:05:38,OLA428933,Success,Cust_3580,Prime Sedan,Airport,Indiranagar,4,25,NA,NA,No,NA,637.72,Credit Card,42.51,4,4
2026-01-22,11:45:08,OLA159773,Cancelled,Cust_2680,Auto,Whitefield,MG Road,4,0,Customer,Late arrival,No,NA,0.0,UPI,0.0,0,0
2026-01-02,11:44:55,OLA801554,Success,Cust_4895,Lux,Indiranagar,Koramangala,7,41,NA,NA,No,NA,990.11,UPI,66.01,3,5
2026-01-29,08:26:36,OLA967368,Success,Cust_2711,Auto,Whitefield,Electronic City,11,21,NA,NA,No,NA,1028.39,Cash,68.56,4,3
2026-01-04,18:25:47,OLA534575,Cancelled,Cust_1481,Bike,MG Road,Koramangala,4,0,Customer,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-02-15,14:35:06,OLA832740,Success,Cust_718,Prime Play,HSR Layout,Whitefield,11,35,NA,NA,No,NA,865.13,Wallet,57.68,5,4
2026-01-01,02:50:17,OLA515976,Cancelled,Cust_577,Auto,MG Road,Airport,3,0,Driver,Changed mind,No,NA,0.0,Wallet,0.0,0,0
2026-01-22,18:04:30,OLA419725,Success,Cust_2558,Prime Play,Electronic City,Whitefield,7,33,NA,NA,No,NA,880.81,Wallet,58.72,4,3
2026-01-03,04:34:09,OLA391922,Success,Cust_3992,Prime Play,Koramangala,Electronic City,8,18,NA,NA,No,NA,1022.61,Credit Card,68.17,4,3
2026-01-26,12:24:28,OLA461940,Success,Cust_4751,Lux,Indiranagar,MG Road,7,33,NA,NA,No,NA,960.33,UPI,64.02,5,4
2026-01-09,07:37:00,OLA137324,Success,Cust_1358,Mini,Indiranagar,Electronic City,9,12,NA,NA,No,NA,448.66,Cash,29.91,4,3
2026-02-22,06:08:26,OLA824065,Success,Cust_16,Lux,Airport,Electronic City,10,22,NA,NA,No,NA,234.39,Cash,15.63,5,3
2026-01-16,22:17:18,OLA132903,Cancelled,Cust_3056,Auto,HSR Layout,Whitefield,4,0,Driver,Driver refused,No,NA,0.0,Credit Card,0.0,0,0
2026-01-24,11:21:12,OLA689639,Success,Cust_3386,Mini,Electronic City,HSR Layout,4,9,NA,NA,No,NA,505.29,Cash,33.69,3,4
2026-02-02,11:16:55,OLA950682,Cancelled,Cust_1329,Bike,Electronic City,HSR Layout,5,0,Driver,Wrong location,No,NA,0.0,Cash,0.0,0,0
2026-01-25,11:36:07,OLA785748,Success,Cust_3292,Prime Play,Indiranagar,Whitefield,7,20,NA,NA,No,NA,420.06,UPI,28.0,4,5
2026-01-01,00:20:17,OLA851737,Success,Cust_1418,Prime Play,Koramangala,MG Road,11,30,NA,NA,No,NA,931.95,Credit Card,62.13,5,4
2026-02-18,12:40:33,OLA889673,Success,Cust_1770,Prime Play,Whitefield,Airport,3,27,NA,NA,No,NA,909.69,UPI,60.65,5,5
2026-01-17,12:30:52,OLA738464,Cancelled,Cust_2763,Lux,MG Road,Koramangala,4,0,Customer,Driver refused,No,NA,0.0,Credit Card,0.0,0,0
2026-02-28,15:04:00,OLA641244,Success,Cust_356,Prime Play,Koramangala,Whitefield,8,27,NA,NA,No,NA,1022.71,Credit Card,68.18,3,3
2026-02-24,10:31:34,OLA458303,Success,Cust_3388,Lux,Koramangala,Indiranagar,7,6,NA,NA,No,NA,971.38,Wallet,64.76,4,4
2026-02-01,10:34:32,OLA389601,Success,Cust_1214,Auto,Electronic City,Koramangala,7,9,NA,NA,No,NA,601.13,UPI,40.08,5,5
2026-01-17,20:09:29,OLA233203,Cancelled,Cust_4996,Lux,Airport,MG Road,5,0,Customer,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-01-30,17:56:24,OLA465186,Success,Cust_2433,Bike,MG Road,Koramangala,2,7,NA,NA,No,NA,825.44,UPI,55.03,5,4
2026-02-09,14:58:53,OLA657294,Success,Cust_489,Lux,Whitefield,MG Road,10,7,NA,NA,No,NA,506.65,UPI,33.78,4,4
2026-03-02,17:37:10,OLA216660,Cancelled,Cust_4104,Mini,Whitefield,Airport,4,0,Driver,Wrong location,No,NA,0.0,UPI,0.0,0,0
2026-01-15,22:43:42,OLA869239,Success,Cust_4943,Prime Sedan,Airport,HSR Layout,7,42,NA,NA,No,NA,960.98,UPI,64.07,3,5
2026-01-29,10:06:33,OLA472490,Cancelled,Cust_4203,Mini,MG Road,Airport,5,0,Driver,Wrong location,No,NA,0.0,Wallet,0.0,0,0
2026-02-07,12:29:13,OLA451063,Success,Cust_4683,Lux,Indiranagar,Electronic City,6,22,NA,NA,No,NA,515.61,Wallet,34.37,4,4
2026-02-01,21:31:12,OLA829558,Success,Cust_4083,Bike,MG Road,Electronic City,6,38,NA,NA,No,NA,444.32,UPI,29.62,4,4
2026-01-18,19:33:49,OLA827311,Cancelled,Cust_3036,Bike,MG Road,Electronic City,4,0,Customer,Late arrival,No,NA,0.0,Wallet,0.0,0,0
2026-02-15,14:36:37,OLA695629,Success,Cust_390,Prime Sedan,MG Road,Electronic City,6,22,NA,NA,No,NA,1173.7,Cash,78.25,4,4
2026-02-05,03:29:04,OLA260639,Success,Cust_311,Bike,Indiranagar,Electronic City,2,11,NA,NA,No,NA,582.24,Cash,38.82,3,3
2026-02-02,06:13:29,OLA939014,Success,Cust_4588,Bike,Airport,Whitefield,9,44,NA,NA,No,NA,312.24,UPI,20.82,5,4
2026-02-26,19:10:26,OLA668571,Success,Cust_3101,Auto,Koramangala,Electronic City,5,20,NA,NA,No,NA,261.29,Wallet,17.42,3,3
2026-01-04,11:55:03,OLA168102,Success,Cust_3196,Lux,Indiranagar,Whitefield,10,5,NA,NA,No,NA,1198.2,Wallet,79.88,5,5
2026-01-09,22:25:23,OLA412949,Success,Cust_3111,Mini,Whitefield,Electronic City,8,37,NA,NA,No,NA,931.45,Cash,62.1,4,3
2026-02-26,06:14:27,OLA544986,Success,Cust_1245,Lux,MG Road,Indiranagar,9,38,NA,NA,No,NA,442.39,Wallet,29.49,5,4
2026-01-16,21:34:16,OLA259721,Success,Cust_815,Auto,Airport,HSR Layout,8,19,NA,NA,No,NA,730.37,Wallet,48.69,4,4
2026-01-23,15:34:44,OLA210908,Cancelled,Cust_3432,Prime Play,Airport,Whitefield,3,0,Customer,Late arrival,No,NA,0.0,Cash,0.0,0,0
2026-02-15,07:41:17,OLA156282,Success,Cust_992,Mini,Airport,Whitefield,7,34,NA,NA,No,NA,963.14,UPI,64.21,4,3
2026-01-18,01:18:08,OLA440967,Cancelled,Cust_3351,Bike,Airport,Indiranagar,2,0,Customer,Changed mind,No,NA,0.0,Cash,0.0,0,0
2026-02-14,21:06:35,OLA625293,Cancelled,Cust_2865,Mini,MG Road,Koramangala,2,0,Driver,Driver refused,No,NA,0.0,UPI,0.0,0,0
2026-02-15,06:49:49,OLA617642,Success,Cust_4753,Mini,Indiranagar,Electronic City,8,27,NA,NA,No,NA,379.73,Wallet,25.32,4,3
2026-02-25,17:33:37,OLA381843,Cancelled,Cust_942,Bike,Electronic City,HSR Layout,5,0,Customer,Late arrival,No,NA,0.0,Credit Card,0.0,0,0
2026-02-11,17:05:42,OLA476423,Success,Cust_3943,Lux,Koramangala,MG Road,7,6,NA,NA,No,NA,882.85,UPI,58.86,3,5
